125020,125021,5,19.3932,0
125021,125022,11,19.3932,0
125022,125023,17,19.3932,0
125023,125024,23,19.3932,0
125024,125025,29,19.3932,0
125025,125026,35,19.3932,0
125026,125027,41,19.3932,0
125027,125028,47,19.3932,0
125028,125029,53,19.3932,0
125029,125030,59,19.3932,0
125030,125031,65,19.3932,0
125031,125032,71,19.3932,0
125032,125033,77,19.3932,0
125033,125034,83,19.3932,0
125034,125035,89,19.3932,0
125035,125036,95,19.3932,0
125036,125037,101,19.3932,0
125037,125038,107,19.3932,0
125038,125039,113,19.3932,0
125039,125040,119,19.3932,0
125040,125041,125,19.3932,0
125041,125042,131,19.3932,0
125042,125043,137,19.3932,0
125043,125044,143,19.3932,0
125044,125045,149,19.3932,0
125045,125046,155,19.3932,0
125046,125047,161,19.3932,0
125047,125048,167,19.3932,0
125048,125049,173,19.3932,0
125049,125050,179,19.3932,0
125050,125051,185,19.3932,0
125051,125052,191,19.3932,0
125052,125053,197,19.3932,0
125053,125054,203,19.3932,0
125054,125055,209,19.3932,0
125055,125056,215,19.3932,0
125056,125057,221,19.3932,0
125057,125058,227,19.3932,0
125058,125059,233,19.3932,0
125059,125060,239,19.3932,0
125060,125061,245,19.3932,0
125061,125062,251,19.3932,0
125062,125063,257,19.3932,0
125063,125064,263,19.3932,0
125064,125065,269,19.3932,0
125065,125066,275,19.3932,0
125066,125067,281,19.3932,0
125067,125068,287,19.3932,0
125068,125069,293,19.3932,0
125069,125070,299,19.3932,0
