,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,RMSE,R2,norm,MSE,area_c2f,SSIM,area_farsite,time
2463,2463,1.1,0.8999999999999999,1.0999999999999999,0.6,2,0.4940944881889764,0.41141732283464566,0.08267716535433071,0.9003760442386598,0.047657165863404016,0.541353798433206,15.84297951775486,0.002271205458132001,550,0.9943202710459953,717,0.8056652545928955
2464,2464,1.1,0.8999999999999999,1.0999999999999999,0.7,1,0.40249609984399376,0.11856474258970359,0.2839313572542902,0.9156460347860333,0.04831713825750286,0.684160696501106,16.06237840420901,0.002334545849394647,823,0.9942573604305025,717,1.0245330333709717
2465,2465,1.1,0.8999999999999999,1.0999999999999999,0.7,2,0.34933774834437087,0.1870860927152318,0.16225165562913907,0.925171468257293,0.043695083993540954,0.6975087336523247,14.52583904633395,0.0019092603652025987,702,0.9948727392723294,717,0.8377511501312256
2466,2466,1.1,0.8999999999999999,1.0999999999999999,0.7999999999999999,1,0.5657894736842105,0.04824561403508772,0.5175438596491229,0.8888611281546116,0.05917616728119497,0.6236326086832557,19.672315572906,0.00350181877409197,1038,0.9927593728856234,717,1.0785629749298096
2467,2467,1.1,0.8999999999999999,1.0999999999999999,0.7999999999999999,2,0.3668730650154799,0.10990712074303406,0.25696594427244585,0.9219584991591425,0.046309012898211405,0.7059676806481474,15.394804318340652,0.0021445246756067104,812,0.9945013703151668,717,0.8515980243682861
2468,2468,1.1,0.8999999999999999,1.0999999999999999,0.8999999999999999,1,0.8366197183098592,0.009859154929577466,0.8267605633802817,0.8511761963877666,0.07331360467199542,0.5365813325072482,24.372115213907882,0.005374884630001629,1297,0.9901251530501795,717,1.1302149295806885
2469,2469,1.1,0.8999999999999999,1.0999999999999999,0.8999999999999999,2,0.524822695035461,0.01702127659574468,0.5078014184397163,0.8952236224004093,0.05786183638286097,0.6485479960606948,19.235384061671343,0.003347992109596974,1063,0.99273990751337,717,0.894324779510498
2470,2470,1.1,0.8999999999999999,1.1999999999999997,0.5,1,0.6765375854214123,0.6332574031890661,0.04328018223234624,0.8729415699523018,0.05184054701679772,0.34882975812551764,17.233687939614086,0.0026874423150008145,458,0.9938535143575364,717,0.9031200408935547
2471,2471,1.1,0.8999999999999999,1.1999999999999997,0.5,2,0.8208955223880597,0.7835820895522388,0.03731343283582089,0.8537469929595226,0.05464473457404264,0.20563573664897083,18.16590212458495,0.0029860470166675713,417,0.9936206216712528,717,0.8025898933410645
2472,2472,1.1,0.8999999999999999,1.1999999999999997,0.6,1,0.44029850746268656,0.3376865671641791,0.10261194029850747,0.9092488855707932,0.046211211283448045,0.5985298615352852,15.362291495737216,0.0021354760482834756,591,0.9944922286970885,717,0.9617538452148438
